topic precision recall f1
101 0.5 0.8571428571428571 0.631578947368421
102 0.7068965517241379 0.6074074074074074 0.6533864541832669
103 0.2571428571428571 0.6428571428571429 0.36734693877551017
104 0.0 0.0 0.0
105 0.0 0.0 0.0
106 0.15384615384615385 0.5 0.23529411764705882
107 0.13333333333333333 0.6666666666666666 0.2222222222222222
108 0.0 0.0 0.0
109 0.0 0.0 0.0
110 0.15151515151515152 1.0 0.2631578947368421
111 0.08823529411764706 1.0 0.1621621621621622
112 0.3157894736842105 1.0 0.4799999999999999
113 0.14285714285714285 0.08333333333333333 0.10526315789473685
114 0.4 0.8 0.5333333333333333
115 0.15789473684210525 1.0 0.2727272727272727
116 0.42857142857142855 0.5625 0.4864864864864864
117 0.0 0.0 0.0
118 0.13043478260869565 1.0 0.23076923076923078
119 0.0 0.0 0.0
120 0.0 0.0 0.0
121 0.22580645161290322 0.5 0.3111111111111111
122 0.42857142857142855 1.0 0.6
123 0.0 0.0 0.0
124 0.0 0.0 0.0
125 0.3103448275862069 0.75 0.4390243902439025
126 0.0 0.0 0.0
127 0.22727272727272727 1.0 0.37037037037037035
128 0.09523809523809523 0.5 0.16
129 0.23809523809523808 0.29411764705882354 0.2631578947368421
130 0.21428571428571427 1.0 0.35294117647058826
131 0.0 0.0 0.0
132 0.11764705882352941 0.8571428571428571 0.2068965517241379
133 0.0 0.0 0.0
134 0.18181818181818182 0.4 0.25000000000000006
135 0.0 0.0 0.0
136 0.1794871794871795 0.875 0.2978723404255319
137 0.12 1.0 0.21428571428571425
138 0.0 0.0 0.0
139 0.5 1.0 0.6666666666666666
140 0.8181818181818182 0.8181818181818182 0.8181818181818182
141 0.375 0.125 0.1875
142 0.16666666666666666 0.75 0.27272727272727276
143 0.0 0.0 0.0
144 0.13636363636363635 0.5 0.21428571428571427
145 0.0 0.0 0.0
146 0.21428571428571427 0.23076923076923078 0.22222222222222224
147 0.3 1.0 0.4615384615384615
148 0.0 0.0 0.0
149 0.08333333333333333 0.2 0.11764705882352941
150 0.0 0.0 0.0
