R149 14196 3.4236161373073077
R149 41538 3.3645040292761355
R149 39661 3.2613859170243087
R149 39926 2.934479007017691
R149 62392 2.4726665887959283
R149 3936 2.4359241535407277
R149 32400 1.9380309077872289
R149 72985 0.9757311562491582
R149 25529 0.8880269996391517
R149 17390 0.6254305603098422
R149 17360 0.6130882555287892
R149 25220 0.366486938265143
R149 30943 0
R149 33589 0
R149 74269 0
R149 77243 0
R149 80308 0
R149 56129 -0.17402089832887482
R149 34498 -0.21441719243343843
R149 41792 -0.2345988903268248
R149 18090 -0.2655437270441174
R149 40427 -0.2807357400335305
R149 16941 -0.28174316493795704
R149 40902 -0.2832679325172966
R149 52385 -0.29304794511742716
R149 30390 -0.31073520565716634
