R133 71102 0.1076267216050426
R133 81694 0.09307267120544506
R133 79525 0.09014790150974324
R133 48566 0.07638567749227948
R133 37672 0.06852733568422992
R133 32575 0.0637553313719638
R133 60471 0.06012099243757093
R133 62586 0.034799384020366704
R133 85281 0
R133 85806 0
R133 74652 -1.1338417738050683
R133 9544 -1.3028405097922613
R133 86304 -1.7702170596346751
R133 67204 -1.772639663535974
R133 37425 -2.1612447660695815
R133 62187 -2.301064024541657
R133 74681 -2.3783007078364866
R133 61461 -2.3841206300134234
R133 13884 -2.470142521950766
R133 60811 -2.6014327498982976
R133 57569 -2.6427303665737862
R133 74695 -2.7174720198633873
R133 35853 -2.8071852585238104
R133 54925 -2.8462122797354024
R133 58507 -2.860391355028436
R133 32662 -2.88846727369045
R133 73186 -2.898658866540872
R133 8780 -2.9305406673916488
R133 65692 -2.956529937185695
R133 64967 -2.960906684218503
R133 10759 -3.1182472892947986
R133 54814 -3.155095287501162
R133 56511 -3.280645193046757
R133 28126 -3.306503037097268
R133 5650 -3.3469152283501975
R133 54844 -3.3845422438065675
R133 77779 -3.4918405401949903
R133 78878 -3.4918405401949903
R133 82290 -3.4946255955708994
R133 28903 -3.495369027480324
R133 4786 -3.497601222275422
R133 35755 -3.5274492548906005
R133 84398 -3.5377047437588467
R133 28762 -3.539798493754221
R133 6939 -3.541069973098242
R133 61652 -3.556078566184689
R133 49709 -3.6965410027324985
